,Power (kW)
0,0.380101395785658
1,0.3225102752120735
2,0.2879556028679227
3,0.2649191546384889
4,0.253400930523772
5,0.24188270640905507
6,0.24188270640905507
7,0.23036448229433817
8,0.23036448229433817
9,0.24188270640905507
10,0.253400930523772
11,0.2764373787532058
12,0.35706494755622414
13,0.4492107404739594
14,0.5989476539652793
15,0.7256481192271652
16,0.7141298951124483
17,0.6565387745388638
18,0.5989476539652793
19,0.5759112057358454
20,0.5643929816211285
21,0.5528747575064116
22,0.5413565333916946
23,0.5413565333916946
24,0.5643929816211285
25,0.5643929816211285
26,0.5413565333916946
27,0.5183200851622609
28,0.506801861047544
29,0.5298383092769778
30,0.5413565333916946
31,0.6104658780799962
32,0.7371663433418821
33,0.8984214809479188
34,1.025121946209805
35,1.0596766185539557
36,1.0596766185539557
37,1.0481583944392387
38,1.013603722095088
39,0.9675308256362203
40,0.9214579291773527
41,0.8984214809479188
42,0.8869032568332019
43,0.8293121362596174
44,0.7717210156860329
45,0.6795752227682975
46,0.5643929816211285
47,0.4722471887033932
48,0.380101395785658
49,0.3225102752120735
50,0.2879556028679227
51,0.2649191546384889
52,0.253400930523772
53,0.24188270640905507
54,0.24188270640905507
55,0.23036448229433817
56,0.23036448229433817
57,0.24188270640905507
58,0.253400930523772
59,0.2764373787532058
60,0.35706494755622414
61,0.4492107404739594
62,0.5989476539652793
63,0.7256481192271652
64,0.7141298951124483
65,0.6565387745388638
66,0.5989476539652793
67,0.5759112057358454
68,0.5643929816211285
69,0.5528747575064116
70,0.5413565333916946
71,0.5413565333916946
72,0.5643929816211285
73,0.5643929816211285
74,0.5413565333916946
75,0.5183200851622609
76,0.506801861047544
77,0.5298383092769778
78,0.5413565333916946
79,0.6104658780799962
80,0.7371663433418821
81,0.8984214809479188
82,1.025121946209805
83,1.0596766185539557
84,1.0596766185539557
85,1.0481583944392387
86,1.013603722095088
87,0.9675308256362203
88,0.9214579291773527
89,0.8984214809479188
90,0.8869032568332019
91,0.8293121362596174
92,0.7717210156860329
93,0.6795752227682975
94,0.5643929816211285
95,0.4722471887033932
96,0.380101395785658
97,0.3225102752120735
98,0.2879556028679227
99,0.2649191546384889
100,0.253400930523772
101,0.24188270640905507
102,0.24188270640905507
103,0.23036448229433817
104,0.23036448229433817
105,0.24188270640905507
106,0.253400930523772
107,0.2764373787532058
108,0.35706494755622414
109,0.4492107404739594
110,0.5989476539652793
111,0.7256481192271652
112,0.7141298951124483
113,0.6565387745388638
114,0.5989476539652793
115,0.5759112057358454
116,0.5643929816211285
117,0.5528747575064116
118,0.5413565333916946
119,0.5413565333916946
120,0.5643929816211285
121,0.5643929816211285
122,0.5413565333916946
123,0.5183200851622609
124,0.506801861047544
125,0.5298383092769778
126,0.5413565333916946
127,0.6104658780799962
128,0.7371663433418821
129,0.8984214809479188
130,1.025121946209805
131,1.0596766185539557
132,1.0596766185539557
133,1.0481583944392387
134,1.013603722095088
135,0.9675308256362203
136,0.9214579291773527
137,0.8984214809479188
138,0.8869032568332019
139,0.8293121362596174
140,0.7717210156860329
141,0.6795752227682975
142,0.5643929816211285
143,0.4722471887033932
144,0.380101395785658
145,0.3225102752120735
146,0.2879556028679227
147,0.2649191546384889
148,0.253400930523772
149,0.24188270640905507
150,0.24188270640905507
151,0.23036448229433817
152,0.23036448229433817
153,0.24188270640905507
154,0.253400930523772
155,0.2764373787532058
156,0.35706494755622414
157,0.4492107404739594
158,0.5989476539652793
159,0.7256481192271652
160,0.7141298951124483
161,0.6565387745388638
162,0.5989476539652793
163,0.5759112057358454
164,0.5643929816211285
165,0.5528747575064116
166,0.5413565333916946
167,0.5413565333916946
168,0.5643929816211285
169,0.5643929816211285
170,0.5413565333916946
171,0.5183200851622609
172,0.506801861047544
173,0.5298383092769778
174,0.5413565333916946
175,0.6104658780799962
176,0.7371663433418821
177,0.8984214809479188
178,1.025121946209805
179,1.0596766185539557
180,1.0596766185539557
181,1.0481583944392387
182,1.013603722095088
183,0.9675308256362203
184,0.9214579291773527
